,xA,yA,zA,xC,yC,zC,A1,A2,A3,B,C1,C2,C3,rA1,rA2,rA3,rB,rC1,rC2,rC3,rA,rC,TF,OF
68,0.0,0.0,1.0,0.15,0.55,0.3,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0095,1.0032540188142935,0.5921871112216969
69,0.0,0.0,1.0,0.15,0.6,0.25,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9975,1.0043689260618334,0.5957446808510638
70,0.0,0.0,1.0,0.15,0.65,0.2,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9855,1.0054922596277294,0.5993452530848652
71,0.0,0.0,1.0,0.15,0.7,0.15,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9735,1.006624115401807,0.6029896123638205
72,0.0,0.0,1.0,0.15,0.75,0.1,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9615,1.0077645907343735,0.6066785623247515
73,0.0,0.0,1.0,0.15,0.8,0.05,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9495000000000002,1.0089137844641312,0.6104129263913823
74,0.0,0.0,1.0,0.2,0.0,0.8,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1220000000000003,0.9931946697100902,0.5607917059377944
75,0.0,0.0,1.0,0.2,0.05,0.75,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1100000000000003,0.9942349893047214,0.5639810426540284
76,0.0,0.0,1.0,0.2,0.1,0.7,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.098,0.995282902473036,0.567206863679695
77,0.0,0.0,1.0,0.2,0.15,0.65,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0860000000000003,0.9963384926608981,0.570469798657718
78,0.0,0.0,1.0,0.2,0.2,0.6,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.074,0.9974018445413186,0.5737704918032787
79,0.0,0.0,1.0,0.2,0.25,0.55,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0620000000000003,0.9984730440370929,0.5771096023278369
80,0.0,0.0,1.0,0.2,0.3,0.5,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.05,0.9995521783439468,0.5804878048780489
81,0.0,0.0,1.0,0.2,0.35,0.45,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0380000000000003,1.0006393359541972,0.5839057899901864
