,rownum,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,Eg,Eg-type,rA1,rA2,rA3,rA,rB,rC1,rC2,rC3,rC,TF,OF,duplicated
66,67.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.96,0.9248507741233574,0.6071428571428571,1
67,68.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.9,0.1,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.197,1.19,1.81,1.96,2.2,1.96,0.933156472823009,0.6071428571428571,1
68,69.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.8,0.2,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.234,1.19,1.81,1.96,2.2,1.96,0.9414621715226603,0.6071428571428571,1
69,70.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.7,0.3,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.271,1.19,1.81,1.96,2.2,1.96,0.9497678702223118,0.6071428571428571,1
70,71.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.6,0.4,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.308,1.19,1.81,1.96,2.2,1.96,0.9580735689219634,0.6071428571428571,1
71,72.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.5,0.5,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.3449999999999998,1.19,1.81,1.96,2.2,1.96,0.9663792676216149,0.6071428571428571,1
72,73.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.4,0.6,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.3819999999999997,1.19,1.81,1.96,2.2,1.96,0.9746849663212663,0.6071428571428571,1
73,74.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.3,0.7,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.4189999999999996,1.19,1.81,1.96,2.2,1.96,0.9829906650209178,0.6071428571428571,1
74,75.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.2,0.8,0.0,1.0,0.0,2.18,,1.67,2.16,2.53,2.456,1.19,1.81,1.96,2.2,1.96,0.9912963637205695,0.6071428571428571,1
75,76.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.1,0.9,0.0,1.0,0.0,2.19,,1.67,2.16,2.53,2.493,1.19,1.81,1.96,2.2,1.96,0.9996020624202209,0.6071428571428571,0
