,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,pred_Linear_Regression,pred_Random_Forest_Regression,pred_Random_Forest_Regression1,pred_Gradient_Boosting_Regression,pred_Kernel_Ridge_Regression
3125,0.2,0.4,0.4,0.0,0.1,0.9,2.21,1.19,2.176,0.9213815633642892,1.5936279296875,1.539945347533387,1.539164652728192,1.5837651232799734,1.5967081763661477
3201,0.2,0.5,0.3,0.0,0.1,0.9,2.173,1.19,2.176,0.9136088506774496,1.6075439453125,1.5709521923205898,1.5835350407460222,1.6106289880681215,1.607064269230277
3277,0.2,0.6,0.2,0.0,0.1,0.9,2.136,1.19,2.176,0.90583613799061,1.621337890625,1.572804672281489,1.5854699045453051,1.6113630841144084,1.6174203620944057
3830,0.3,0.0,0.7,0.0,0.1,0.9,2.272,1.19,2.176,0.934406108947642,1.555419921875,1.539945347533387,1.539164652728192,1.5726152163232907,1.556292426171047
3906,0.3,0.1,0.6,0.0,0.1,0.9,2.235,1.19,2.176,0.9266333962608024,1.5693359375,1.539945347533387,1.539164652728192,1.5761355612673498,1.566648519035173
3982,0.3,0.2,0.5,0.0,0.1,0.9,2.198,1.19,2.176,0.9188606835739628,1.583251953125,1.54088920718251,1.5408813544825783,1.5855375919856614,1.5770046118992995
4058,0.3,0.3,0.4,0.0,0.1,0.9,2.161,1.19,2.176,0.911087970887123,1.59716796875,1.5717636116754283,1.5843464601008612,1.6129568080919834,1.587360704763427
4131,0.3,0.4,0.3,0.0,0.1,0.9,2.124,1.19,2.176,0.9033152582002836,1.6112060546875,1.5750831427974594,1.5879267083946091,1.6174953040647015,1.597716797627556
4485,0.4,0.0,0.6,0.0,0.1,0.9,2.186,1.19,2.176,0.9163398037836364,1.5728759765625,1.5546002653947224,1.5548757460281244,1.5800051171276104,1.5573010474324525
4562,0.4,0.1,0.5,0.0,0.1,0.9,2.149,1.19,2.176,0.9085670910967968,1.5869140625,1.5734994450087618,1.5843464601008612,1.6130516817137504,1.5676571402965802
4632,0.4,0.2,0.4,0.0,0.1,0.9,2.112,1.19,2.176,0.9007943784099572,1.600830078125,1.5805402612089745,1.5910365828144837,1.6313969315484946,1.5780132331607066
4,0.0,0.0,1.0,0.0,0.2,0.8,2.53,1.19,2.152,0.99062655580952,1.57568359375,1.5388011598358822,1.5383224788151486,1.55583543305562,1.6169600238937625
88,0.0,0.1,0.9,0.0,0.2,0.8,2.493,1.19,2.152,0.982798024719184,1.588134765625,1.5388011598358822,1.5383224788151486,1.5628981193230744,1.6273035126307185
169,0.0,0.2,0.8,0.0,0.2,0.8,2.456,1.19,2.152,0.9749694936288482,1.600341796875,1.5388011598358822,1.5383224788151486,1.5663613122422402,1.6376470013676765
246,0.0,0.3,0.7,0.0,0.2,0.8,2.419,1.19,2.152,0.9671409625385124,1.612548828125,1.5388011598358822,1.5383224788151486,1.5776939945240482,1.6479904901046338
324,0.0,0.4,0.6,0.0,0.2,0.8,2.382,1.19,2.152,0.9593124314481764,1.6251220703125,1.5388011598358822,1.5383224788151486,1.5825266501193496,1.658333978841592
400,0.0,0.5,0.5,0.0,0.2,0.8,2.345,1.19,2.152,0.9514839003578408,1.6373291015625,1.5388011598358822,1.5383224788151486,1.563864192541136,1.6686774675785476
477,0.0,0.6,0.4,0.0,0.2,0.8,2.308,1.19,2.152,0.943655369267505,1.6495361328125,1.5388011598358822,1.5383224788151486,1.5736967773489463,1.6790209563155063
554,0.0,0.7,0.3,0.0,0.2,0.8,2.271,1.19,2.152,0.9358268381771692,1.661865234375,1.539643333748926,1.539164652728192,1.573338119267755,1.689364445052462
632,0.0,0.8,0.2,0.0,0.2,0.8,2.234,1.19,2.152,0.9279983070868334,1.6741943359375,1.539643333748926,1.539164652728192,1.5821424184553592,1.699707933789422
708,0.0,0.9,0.1,0.0,0.2,0.8,2.197,1.19,2.152,0.9201697759964976,1.6864013671875,1.548074665415608,1.539164652728192,1.58138587191812,
1504,0.1,0.0,0.9,0.0,0.2,0.8,2.4439999999999995,1.19,2.152,0.972430510572523,1.5894775390625,1.5397530545727245,1.5383224788151486,1.580738238497701,1.6179393490757985
1584,0.1,0.1,0.8,0.0,0.2,0.8,2.407,1.19,2.152,0.9646019794821872,1.6019287109375,1.5397530545727245,1.5383224788151486,1.5726949397361816,1.628282837812757
1661,0.1,0.2,0.7,0.0,0.2,0.8,2.37,1.19,2.152,0.9567734483918516,1.6142578125,1.5397530545727245,1.5383224788151486,1.5975527285435516,1.6386263265497116
1737,0.1,0.3,0.6,0.0,0.2,0.8,2.333,1.19,2.152,0.9489449173015156,1.6263427734375,1.5397530545727245,1.5383224788151486,1.5943600196571153,1.648969815286673
1813,0.1,0.4,0.5,0.0,0.2,0.8,2.2960000000000003,1.19,2.152,0.94111638621118,1.6387939453125,1.5397530545727245,1.5383224788151486,1.6029430973336598,1.659313304023628
1889,0.1,0.5,0.4,0.0,0.2,0.8,2.2590000000000003,1.19,2.152,0.933287855120844,1.6510009765625,1.5405952284857676,1.539164652728192,1.5966557936411818,1.669656792760586
1965,0.1,0.6,0.3,0.0,0.2,0.8,2.222,1.19,2.152,0.9254593240305083,1.663330078125,1.5405952284857676,1.539164652728192,1.602260723303235,1.6800002814975428
2041,0.1,0.7,0.2,0.0,0.2,0.8,2.185,1.19,2.152,0.9176307929401724,1.6756591796875,1.552573919074376,1.5509719367589625,1.602260723303235,1.690343770234501
2117,0.1,0.8,0.1,0.0,0.2,0.8,2.148,1.19,2.152,0.9098022618498368,1.6881103515625,1.5747170923088298,1.5843464601008612,1.6315378542371768,
2820,0.2,0.0,0.8,0.0,0.2,0.8,2.358,1.19,2.152,0.9542344653355264,1.6033935546875,1.5397530545727245,1.5383224788151486,1.588266550569746,1.6189186742578374
2898,0.2,0.1,0.7,0.0,0.2,0.8,2.321,1.19,2.152,0.9464059342451904,1.6156005859375,1.5397530545727245,1.5383224788151486,1.5936439145400534,1.629262162994796
2975,0.2,0.2,0.6,0.0,0.2,0.8,2.284,1.19,2.152,0.9385774031548548,1.6279296875,1.5397530545727245,1.5383224788151486,1.6006027024591791,1.6396056517317523
3051,0.2,0.3,0.5,0.0,0.2,0.8,2.247,1.19,2.152,0.930748872064519,1.6402587890625,1.5405952284857676,1.539164652728192,1.5985165562515091,1.64994914046871
3127,0.2,0.4,0.4,0.0,0.2,0.8,2.21,1.19,2.152,0.9229203409741832,1.6527099609375,1.5405952284857676,1.539164652728192,1.608189368914522,1.6602926292056663
3203,0.2,0.5,0.3,0.0,0.2,0.8,2.173,1.19,2.152,0.9150918098838472,1.6649169921875,1.5636182686790452,1.5548757460281244,1.620414808571646,1.6706361179426237
3279,0.2,0.6,0.2,0.0,0.2,0.8,2.136,1.19,2.152,0.9072632787935117,1.6771240234375,1.57345455323387,1.5854699045453051,1.6305315418812516,1.68097960667958
3832,0.3,0.0,0.7,0.0,0.2,0.8,2.272,1.19,2.152,0.9360384200985294,1.6170654296875,1.5405952284857676,1.539164652728192,1.5970394619578392,1.6198979994398774
3908,0.3,0.1,0.6,0.0,0.2,0.8,2.235,1.19,2.152,0.928209889008194,1.6295166015625,1.5405952284857676,1.539164652728192,1.6005598069018985,1.6302414881768348
3984,0.3,0.2,0.5,0.0,0.2,0.8,2.198,1.19,2.152,0.920381357917858,1.6417236328125,1.5405952284857676,1.539164652728192,1.6099618376202098,1.6405849769137912
4060,0.3,0.3,0.4,0.0,0.2,0.8,2.161,1.19,2.152,0.9125528268275224,1.654052734375,1.5724134926278095,1.5843464601008612,1.6313911698125394,1.6509284656507464
4133,0.3,0.4,0.3,0.0,0.2,0.8,2.124,1.19,2.152,0.9047242957371864,1.6663818359375,1.5743172805065972,1.586510965151366,1.6366637618315445,1.6612719543877064
4487,0.4,0.0,0.6,0.0,0.2,0.8,2.186,1.19,2.152,0.9178423748615328,1.630859375,1.5543097524077094,1.5509719367589625,1.6009079693539032,1.6208773246219137
4564,0.4,0.1,0.5,0.0,0.2,0.8,2.149,1.19,2.152,0.9100138437711972,1.643310546875,1.5741493259611423,1.5843464601008612,1.6322201394805935,1.6312208133588713
4634,0.4,0.2,0.4,0.0,0.2,0.8,2.112,1.19,2.152,0.9021853126808612,1.655517578125,1.5811901421613552,1.5910365828144837,1.6505653893153378,1.6415643020958297
6,0.0,0.0,1.0,0.0,0.3,0.7,2.53,1.19,2.128,0.9926773317561596,1.649658203125,1.6658362001253175,1.6608437155705769,1.6458347718226345,1.6806600889999008
90,0.0,0.1,0.9,0.0,0.3,0.7,2.493,1.19,2.128,0.9847921747628198,1.6602783203125,1.6649008667919842,1.6608437155705769,1.6518254399874033,1.6909907912714996
171,0.0,0.2,0.8,0.0,0.3,0.7,2.456,1.19,2.128,0.9769070177694796,1.6710205078125,1.6649008667919842,1.6608437155705769,1.6589973632600343,
248,0.0,0.3,0.7,0.0,0.3,0.7,2.419,1.19,2.128,0.9690218607761396,1.6815185546875,1.6649008667919842,1.6608437155705769,1.6679573384261104,
326,0.0,0.4,0.6,0.0,0.3,0.7,2.382,1.19,2.128,0.9611367037827996,1.6922607421875,1.6649008667919842,1.6608437155705769,1.665357957647678,
402,0.0,0.5,0.5,0.0,0.3,0.7,2.345,1.19,2.128,0.9532515467894594,,1.6649008667919842,1.6608437155705769,1.6466955000694643,
479,0.0,0.6,0.4,0.0,0.3,0.7,2.308,1.19,2.128,0.9453663897961194,,1.6649008667919842,1.6608437155705769,1.6565280848772748,
556,0.0,0.7,0.3,0.0,0.3,0.7,2.271,1.19,2.128,0.9374812328027796,,1.6649008667919842,1.6608437155705769,1.6561694267960834,
634,0.0,0.8,0.2,0.0,0.3,0.7,2.234,1.19,2.128,0.9295960758094396,,1.6649008667919842,1.6608437155705769,1.6649737259836876,
710,0.0,0.9,0.1,0.0,0.3,0.7,2.197,1.19,2.128,0.9217109188160992,,1.6668935334586508,1.6608437155705769,1.6642171794464484,
1506,0.1,0.0,0.9,0.0,0.3,0.7,2.4439999999999995,1.19,2.128,0.9743496695554232,1.6597900390625,1.6649008667919842,1.6608437155705769,1.6510358835263466,1.6816096942894871
1586,0.1,0.1,0.8,0.0,0.3,0.7,2.407,1.19,2.128,0.9664645125620834,1.670166015625,1.6649008667919842,1.6608437155705769,1.6474316474941022,1.6919403965610873
1663,0.1,0.2,0.7,0.0,0.3,0.7,2.37,1.19,2.128,0.9585793555687432,1.680908203125,1.6649008667919842,1.6608437155705769,1.6650038593275496,
1739,0.1,0.3,0.6,0.0,0.3,0.7,2.333,1.19,2.128,0.9506941985754034,1.6915283203125,1.6649008667919842,1.6608437155705769,1.6618111504411133,
1815,0.1,0.4,0.5,0.0,0.3,0.7,2.2960000000000003,1.19,2.128,0.9428090415820636,,1.6649008667919842,1.6608437155705769,1.6703942281176578,
1891,0.1,0.5,0.4,0.0,0.3,0.7,2.2590000000000003,1.19,2.128,0.9349238845887232,,1.6649008667919842,1.6608437155705769,1.6641069244251798,
