Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
61,Cs,MA,FA,Pb,Cl,Br,I,,0.7000,0.3000,,,1.00,1.4800,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
62,Cs,MA,FA,Pb,Cl,Br,I,,0.6000,0.4000,,,1.00,1.4700,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
63,Cs,MA,FA,Pb,Cl,Br,I,,0.5000,0.5000,,,1.00,1.4700,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
64,Cs,MA,FA,Pb,Cl,Br,I,,0.4000,0.6000,,,1.00,1.4600,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
65,Cs,MA,FA,Pb,Cl,Br,I,,0.3000,0.7000,,,1.00,1.4600,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
66,Cs,MA,FA,Pb,Cl,Br,I,,0.2000,0.8000,,,1.00,1.4600,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
67,Cs,MA,FA,Pb,Cl,Br,I,,1.0000,0.0000,,1.00,,2.2000,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
68,Cs,MA,FA,Pb,Cl,Br,I,,0.9000,0.1000,,1.00,,2.2000,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
69,Cs,MA,FA,Pb,Cl,Br,I,,0.8000,0.2000,,1.00,,2.2000,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
70,Cs,MA,FA,Pb,Cl,Br,I,,0.7000,0.3000,,1.00,,2.2000,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
